code,description,category,is_bonus_eligible,visa_description
3288,Airlines,airline,true,
3289,Airlines,airline,true,
3290,Airlines,airline,true,
3291,ARIANA AFGHAN,airline,true,
3292,CYPRUS AIRWAYS,airline,true,
3293,ECUATORIANA,airline,true,
3294,ETHIOPIAN AIRLINES,airline,true,
3295,KENYA AIRLINES,airline,true,
3296,Airlines,airline,true,
3297,Airlines,airline,true,
3298,AIR MAURITIUS,airline,true,
3299,WIDERO’S FLYVESELSKAP,airline,true,
3351,AFFILIATED AUTO RENTAL,airline,true,
3352,AMERICAN INTL RENT-A-CAR,airline,true,
3353,BROOKS RENT-A-CAR,airline,true,
3354,ACTION AUTO RENTAL,airline,true,
3355,Car Rental,airline,true,
3356,Car Rental,airline,true,
3357,HERTZ RENT-A-CAR,airline,true,
3358,Car Rental,airline,true,
3359,PAYLESS CAR RENTAL,airline,true,
3360,SNAPPY CAR RENTAL,airline,true,
3361,AIRWAYS RENT-A-CAR,airline,true,
3362,ALTRA AUTO RENTAL,airline,true,
3363,Car Rental,airline,true,
3364,AGENCY RENT-A-CAR,airline,true,
3365,Car Rental,airline,true,
3366,BUDGET RENT-A-CAR,airline,true,
3367,Car Rental,airline,true,
3368,HOLIDAY RENT-A-WRECK,airline,true,
3369,Car Rental,airline,true,
3370,RENT-A-WRECK,airline,true,
3371,Car Rental,airline,true,
3372,Car Rental,airline,true,
3373,Car Rental,airline,true,
3374,Car Rental,airline,true,
3375,Car Rental,airline,true,
3376,AJAX RENT-A-CAR,airline,true,
3377,Car Rental,airline,true,
3378,Car Rental,airline,true,
3379,Car Rental,airline,true,
3380,Car Rental,airline,true,
3381,EUROP CAR,airline,true,
3382,Car Rental,airline,true,
3383,Car Rental,airline,true,
3384,Car Rental,airline,true,
3385,TROPICAL RENT-A-CAR,airline,true,
3386,SHOWCASE RENTAL CARS,airline,true,
3387,ALAMO RENT-A-CAR,airline,true,
3388,Car Rental,airline,true,
3389,AVIS RENT-A-CAR,airline,true,
3390,DOLLAR RENT-A-CAR,airline,true,
3391,EUROPE BY CAR,airline,true,
3392,Car Rental,airline,true,
3393,NATIONAL CAR RENTAL,airline,true,
3394,KEMWELL GROUP RENT-A-CAR,airline,true,
3395,THRIFTY RENT-A-CAR,airline,true,
3396,TILDEN TENT-A-CAR,airline,true,
3397,Car Rental,airline,true,
3398,ECONO-CAR RENT-A-CAR,airline,true,
3399,Car Rental,airline,true,
3400,AUTO HOST COST CAR RENTALS,airline,true,
3401,Car Rental,airline,true,
3402,Car Rental,airline,true,
3403,Car Rental,airline,true,
3404,Car Rental,airline,true,
3405,ENTERPRISE RENT-A-CAR,airline,true,
3406,Car Rental,airline,true,
3407,Car Rental,airline,true,
3408,Car Rental,airline,true,
3409,GENERAL RENT-A-CAR,airline,true,
3410,Car Rental,airline,true,
3411,Car Rental,airline,true,
3412,A-1 RENT-A-CAR,airline,true,
3413,Car Rental,airline,true,
3414,GODFREY NATL RENT-A-CAR,airline,true,
3415,Car Rental,airline,true,
3416,Car Rental,airline,true,
3417,Car Rental,airline,true,
3418,Car Rental,airline,true,
3419,ALPHA RENT-A-CAR,airline,true,
3420,ANSA INTL RENT-A-CAR,airline,true,
3421,ALLSTAE RENT-A-CAR,airline,true,
3422,Car Rental,airline,true,
3423,AVCAR RENT-A-CAR,airline,true,
3424,Car Rental,airline,true,
3425,AUTOMATE RENT-A-CAR,airline,true,
3426,Car Rental,airline,true,
3427,AVON RENT-A-CAR,airline,true,
3428,CAREY RENT-A-CAR,airline,true,
3429,INSURANCE RENT-A-CAR,airline,true,
3430,MAJOR RENT-A-CAR,airline,true,
3431,REPLACEMENT RENT-A-CAR,airline,true,
3432,RESERVE RENT-A-CAR,airline,true,
3433,UGLY DUCKLING RENT-A-CAR,airline,true,
3434,USA RENT-A-CAR,airline,true,
3435,VALUE RENT-A-CAR,airline,true,
3436,AUTOHANSA RENT-A-CAR,airline,true,
3437,CITE RENT-A-CAR,airline,true,
3438,INTERENT RENT-A-CAR,airline,true,
3439,MILLEVILLE RENT-A-CAR,airline,true,
3440,VIA ROUTE RENT-A-CAR,airline,true,
3441,Car Rental,airline,true,
3501,"HOLIDAY INNS, HOLIDAY INN EXPRESS",airline,true,
3502,BEST WESTERN HOTELS,airline,true,
3503,SHERATON HOTELS,airline,true,
3504,HILTON HOTELS,airline,true,
3505,FORTE HOTELS,airline,true,
3506,GOLDEN TULIP HOTELS,airline,true,
3507,FRIENDSHIP INNS,airline,true,
3508,"QUALITY INNS, QUALITY SUITES",airline,true,
3509,MARRIOTT HOTELS,airline,true,
3510,"DAYS INN, DAYSTOP",airline,true,
3511,ARABELLA HOTELS,airline,true,
3512,INTER-CONTINENTAL HOTELS,airline,true,
3513,WESTIN HOTELS,airline,true,
3514,Hotels/Motels/Inns/Resorts,airline,true,
3515,RODEWAY INNS,airline,true,
3516,LA QUINTA MOTOR INNS,airline,true,
3517,AMERICANA HOTELS,airline,true,
3518,SOL HOTELS,airline,true,
3519,PULLMAN INTERNATIONAL HOTELS,airline,true,
3520,MERIDIEN HOTELS,airline,true,
3521,CREST HOTELS (see FORTE HOTELS),airline,true,
3522,TOKYO HOTEL,airline,true,
3523,PENNSULA HOTEL,airline,true,
3524,WELCOMGROUP HOTELS,airline,true,
3525,DUNFEY HOTELS,airline,true,
3526,Hotels/Motels/Inns/Resorts,airline,true,
3527,DOWNTOWNER-PASSPORT HOTEL,airline,true,
3528,"RED LION HOTELS, RED LION INNS",airline,true,
3529,CP HOTELS,airline,true,
3530,"RENAISSANCE HOTELS, STOUFFER HOTELS",airline,true,
3531,ASTIR HOTELS,airline,true,
3532,SUN ROUTE HOTELS,airline,true,
3533,HOTEL IBIS,airline,true,
3534,SOUTHERN PACIFIC HOTELS,airline,true,
3535,HILTON INTERNATIONAL,airline,true,
3536,AMFAC HOTELS,airline,true,
3537,ANA HOTEL,airline,true,
3538,CONCORDE HOTELS,airline,true,
3539,Hotels/Motels/Inns/Resorts,airline,true,
3540,IBEROTEL HOTELS,airline,true,
3541,HOTEL OKURA,airline,true,
3542,ROYAL HOTELS,airline,true,
3543,FOUR SEASONS HOTELS,airline,true,
3544,CIGA HOTELS,airline,true,
3545,SHANGRI-LA INTERNATIONAL,airline,true,
3546,Hotels/Motels/Inns/Resorts,airline,true,
3547,Hotels/Motels/Inns/Resorts,airline,true,
3548,HOTELES MELIA,airline,true,
3549,AUBERGE DES GOVERNEURS,airline,true,
3550,REGAL 8 INNS,airline,true,
3551,Hotels/Motels/Inns/Resorts,airline,true,
3552,COAST HOTELS,airline,true,
3553,PARK INNS INTERNATIONAL,airline,true,
3554,Hotels/Motels/Inns/Resorts,airline,true,
3555,Hotels/Motels/Inns/Resorts,airline,true,
3556,Hotels/Motels/Inns/Resorts,airline,true,
3557,Hotels/Motels/Inns/Resorts,airline,true,
3558,JOLLY HOTELS,airline,true,
3559,Hotels/Motels/Inns/Resorts,airline,true,
3560,Hotels/Motels/Inns/Resorts,airline,true,
3561,Hotels/Motels/Inns/Resorts,airline,true,
3562,COMFORT INNS,airline,true,
3563,JOURNEY’S END MOTLS,airline,true,
3564,Hotels/Motels/Inns/Resorts,airline,true,
3565,RELAX INNS,airline,true,
3566,Hotels/Motels/Inns/Resorts,airline,true,
3567,Hotels/Motels/Inns/Resorts,airline,true,
3568,LADBROKE HOTELS,airline,true,
3569,Hotels/Motels/Inns/Resorts,airline,true,
3570,FORUM HOTELS,airline,true,
3571,Hotels/Motels/Inns/Resorts,airline,true,
3572,MIYAKO HOTELS,airline,true,
3573,SANDMAN HOTELS,airline,true,
3574,VENTURE INNS,airline,true,
3575,VAGABOND HOTELS,airline,true,
3576,Hotels/Motels/Inns/Resorts,airline,true,
3577,MANDARIN ORIENTAL HOTEL,airline,true,
3578,Hotels/Motels/Inns/Resorts,airline,true,
3579,HOTEL MERCURE,airline,true,
3580,Hotels/Motels/Inns/Resorts,airline,true,
3581,DELTA HOTEL,airline,true,
3582,Hotels/Motels/Inns/Resorts,airline,true,
3583,SAS HOTELS,airline,true,
3584,PRINCESS HOTELS INTERNATIONAL,airline,true,
3585,HUNGAR HOTELS,airline,true,
3586,SOKOS HOTELS,airline,true,
3587,DORAL HOTELS,airline,true,
3588,HELMSLEY HOTELS,airline,true,
3589,Hotels/Motels/Inns/Resorts,airline,true,
3590,FAIRMONT HOTELS,airline,true,
3591,SONESTA HOTELS,airline,true,
3592,OMNI HOTELS,airline,true,
3593,CUNARD HOTELS,airline,true,
3594,Hotels/Motels/Inns/Resorts,airline,true,
3595,HOSPITALITY INTERNATIONAL,airline,true,
3596,Hotels/Motels/Inns/Resorts,airline,true,
3597,Hotels/Motels/Inns/Resorts,airline,true,
3598,REGENT INTERNATIONAL HOTELS,airline,true,
3599,PANNONIA HOTELS,airline,true,
3600,Hotels/Motels/Inns/Resorts,airline,true,
3601,Hotels/Motels/Inns/Resorts,airline,true,
3602,Hotels/Motels/Inns/Resorts,airline,true,
3603,NOAH’S HOTELS,airline,true,
3604,Hotels/Motels/Inns/Resorts,airline,true,
3605,Hotels/Motels/Inns/Resorts,airline,true,
3606,Hotels/Motels/Inns/Resorts,airline,true,
3607,Hotels/Motels/Inns/Resorts,airline,true,
3608,Hotels/Motels/Inns/Resorts,airline,true,
3609,Hotels/Motels/Inns/Resorts,airline,true,
3610,Hotels/Motels/Inns/Resorts,airline,true,
3611,Hotels/Motels/Inns/Resorts,airline,true,
3612,MOVENPICK HOTELS,airline,true,
3613,Hotels/Motels/Inns/Resorts,airline,true,
3614,Hotels/Motels/Inns/Resorts,airline,true,
3615,TRAVELODGE,airline,true,
3616,Hotels/Motels/Inns/Resorts,airline,true,
3617,Hotels/Motels/Inns/Resorts,airline,true,
3618,Hotels/Motels/Inns/Resorts,airline,true,
3619,Hotels/Motels/Inns/Resorts,airline,true,
3620,TELFORD INTERNATIONAL,airline,true,
3621,Hotels/Motels/Inns/Resorts,airline,true,
3622,MERLIN HOTELS,airline,true,
3623,DORINT HOTELS,airline,true,
3624,Hotels/Motels/Inns/Resorts,airline,true,
3625,HOTLE UNIVERSALE,airline,true,
3626,PRINCE HOTELS,airline,true,
3627,Hotels/Motels/Inns/Resorts,airline,true,
3628,Hotels/Motels/Inns/Resorts,airline,true,
3629,DAN HOTELS,airline,true,
3630,Hotels/Motels/Inns/Resorts,airline,true,
3631,Hotels/Motels/Inns/Resorts,airline,true,
3632,Hotels/Motels/Inns/Resorts,airline,true,
3633,RANK HOTELS,airline,true,
3634,SWISSOTEL,airline,true,
3635,RESO HOTELS,airline,true,
3636,SAROVA HOTELS,airline,true,
3637,"RAMADA INNS, RAMADA LIMITED",airline,true,
3638,"HO JO INN, HOWARD JOHNSON",airline,true,
3639,MOUNT CHARLOTTE THISTLE,airline,true,
3640,HYATT HOTEL,airline,true,
3641,SOFITEL HOTELS,airline,true,
3642,NOVOTEL HOTELS,airline,true,
3643,STEIGENBERGER HOTELS,airline,true,
3644,ECONO LODGES,airline,true,
3645,QUEENS MOAT HOUSES,airline,true,
3646,SWALLOW HOTELS,airline,true,
3647,HUSA HOTELS,airline,true,
3648,DE VERE HOTELS,airline,true,
3649,RADISSON HOTELS,airline,true,
3650,RED ROOK INNS,airline,true,
3651,IMPERIAL LONDON HOTEL,airline,true,
3652,EMBASSY HOTELS,airline,true,
3653,PENTA HOTELS,airline,true,
3654,LOEWS HOTELS,airline,true,
3655,SCANDIC HOTELS,airline,true,
3656,SARA HOTELS,airline,true,
3657,OBEROI HOTELS,airline,true,
3658,OTANI HOTELS,airline,true,
3659,TAJ HOTELS INTERNATIONAL,airline,true,
3660,KNIGHTS INNS,airline,true,
3661,METROPOLE HOTELS,airline,true,
3662,Hotels/Motels/Inns/Resorts,airline,true,
3663,HOTELES EL PRESIDENTS,airline,true,
3664,FLAG INN,airline,true,
3665,HAMPTON INNS,airline,true,
3666,STAKIS HOTELS,airline,true,
3667,Hotels/Motels/Inns/Resorts,airline,true,
3668,MARITIM HOTELS,airline,true,
3669,Hotels/Motels/Inns/Resorts,airline,true,
